Case_ID,Date_Reported,Region,Country,Pollutant_Type,Total_Concentration_mg_kg,Bioavailable_Concentration_mg_kg,Soil_pH,Soil_Texture,Soil_Organic_Matter_%,CEC_meq_100g,Temperature_C,Humidity_%,Rainfall_mm,Crop_Type,Farming_Practice,Nearby_Industry,Distance_from_Source_km,Years_Since_Contamination,Water_Source_Type,Disease_Type,Disease_Severity,Health_Symptoms,Age_Group_Affected,Gender_Most_Affected,Mitigation_Measure,Case_Resolved,Follow_Up_Required
CASE_100000,1/19/2023,Australia,Australia,Lead,549.32,75.65,5.97,Loamy,1.76,12,29,73.1,324.7,Wheat,Conventional,Mining,2.83,18,River,Neurological Disorder,Severe,Headache,Children,Male,Soil Remediation,No,Yes
CASE_100001,4/23/2025,South America,Brazil,Cadmium,5.38,0.31,6.74,Clay,3.1,30,26,52.4,491.2,Barley,Integrated,Agriculture,1.35,35,Well,Cancer,Mild,Breathing Difficulty,Children,Female,Chemical Neutralization,Yes,No
CASE_100002,10/21/2024,Asia,Vietnam,Lead,712.18,30.4,7.67,Silty,2.4,16,28.7,23.5,1234.7,Barley,Conventional,Mining,0.89,23,Rainwater,Anemia,Moderate,Memory Loss,Children,Female,Community Awareness,No,Yes
CASE_100003,5/21/2024,Australia,Australia,Lead,360.6,28.6,5.91,Silty,3.48,16,24.8,22.6,546.5,Wheat,Permaculture,Mining,2.28,15,Borehole,Anemia,Moderate,Fatigue,Children,Female,Phytoremediation,Yes,Yes
CASE_100004,8/20/2023,Australia,Australia,Cadmium,5.35,0.21,4.87,Loamy,5.86,12,42.6,87.1,1017.5,Cotton,Organic,Agriculture,2.72,11,Borehole,Kidney Disease,Mild,Bone Pain,Adults,Male,None,No,Yes
CASE_100005,8/24/2023,Africa,Nigeria,Lead,328.22,32.3,5.9,Silty,2.72,16,19.3,41.1,951.2,Vegetables,Permaculture,Smelting,3.65,37,Well,Kidney Disease,Moderate,Memory Loss,Children,Both,Phytoremediation,No,Yes
CASE_100006,9/29/2023,Africa,Kenya,Chromium,79.21,9.37,6.52,Loamy,1.84,12,35.9,34.9,306.6,Rice,Conventional,None,0,0,River,Respiratory Issues,Mild,Nasal Irritation,Elderly,Both,Soil Remediation,No,Yes
CASE_100007,11/12/2025,South America,Peru,Mercury,11.42,2.01,7.13,Sandy,0.69,4,9.6,84.7,823.3,Wheat,Integrated,E-waste,0.14,36,Borehole,Kidney Disease,Severe,Mood Changes,Children,Male,Chemical Neutralization,No,Yes
CASE_100008,11/6/2023,Australia,New Zealand,Chromium,39.51,4.41,5.72,Loamy,2.9,12,34.2,67.8,533.5,Cotton,Organic,None,0,0,River,Skin Disease,Mild,Rash,Adults,Female,Government Regulation,Yes,Yes
CASE_100009,7/6/2023,Africa,Kenya,Lead,695.58,237.49,5.55,Sandy,1.9,4,24.8,59.2,262.2,Wheat,Organic,Mining,1.66,37,Well,Kidney Disease,Severe,Abdominal Pain,Adults,Both,Government Regulation,No,Yes
CASE_100010,11/4/2025,Europe,UK,Arsenic,31.16,2.61,6.3,Silty,3.35,16,8,25.8,489.8,Barley,Conventional,Agriculture,1.53,26,River,Skin Disease,Mild,Numbness,Children,Male,Community Awareness,Yes,Yes
CASE_100011,7/9/2024,Asia,China,Lead,414.94,38.43,6.53,Silty,2.34,16,26.6,80.6,1797.4,Soybean,Integrated,Smelting,2.86,3,Borehole,Kidney Disease,Moderate,Memory Loss,Children,Both,Government Regulation,No,Yes
CASE_100012,12/25/2023,North America,Canada,Cadmium,31.69,2.35,6.77,Clay,2.04,30,14.6,36.7,319.9,Vegetables,Permaculture,Smelting,2.24,7,Rainwater,Kidney Disease,Moderate,Fatigue,Elderly,Male,Government Regulation,No,Yes
CASE_100013,5/11/2025,Asia,Bangladesh,Lead,228.32,2.55,6.6,Clay,6.22,30,43.9,92.2,541,Vegetables,Organic,Smelting,3.83,35,Lake,Neurological Disorder,Mild,Cognitive Impairment,Children,Both,Soil Remediation,Yes,Yes
CASE_100014,7/6/2023,Europe,France,Arsenic,267.81,34.9,5.55,Loamy,1.73,12,31.8,38,344.9,Rice,Organic,Chemical,0.13,31,Borehole,Diabetes,Severe,Numbness,Children,Female,Chemical Neutralization,No,Yes
CASE_100015,11/3/2024,Australia,New Zealand,Lead,137.17,5.63,6.95,Loamy,4.78,12,30.3,67.5,942.9,Rice,Integrated,Smelting,5.88,19,Well,Developmental Disorder,Mild,Memory Loss,Children,Both,Chemical Neutralization,Yes,Yes
CASE_100016,6/2/2024,Asia,India,Cadmium,5.48,0.16,4.65,Clay,5.87,30,32.6,49,1876.6,Soybean,Conventional,Agriculture,0.81,16,Irrigation Canal,Cancer,Mild,Joint Pain,Children,Both,Community Awareness,No,Yes
CASE_100017,9/8/2024,Europe,Spain,Arsenic,37.32,1.3,6.21,Loamy,5.45,12,23.1,81.3,755.2,Cotton,Permaculture,Smelting,4.28,26,Lake,Skin Disease,Mild,Weakness,Children,Both,Community Awareness,Yes,Yes
CASE_100018,11/2/2025,South America,Chile,Lead,692.6,214.05,6.46,Sandy,1.35,4,34,87.3,1087.1,Potato,Integrated,Mining,0.49,23,River,Anemia,Severe,Memory Loss,Children,Both,Government Regulation,No,Yes
CASE_100019,1/18/2023,Australia,New Zealand,Cadmium,0.73,0.16,6.98,Sandy,2.45,4,8.4,32.1,1378.3,Wheat,Organic,None,0,0,Lake,None Detected,None,None,Adults,Both,Phytoremediation,Yes,No
CASE_100020,10/30/2025,North America,Canada,Lead,18.53,6.11,6.76,Sandy,0.51,4,19.2,71.9,852,Vegetables,Integrated,None,0,0,Well,Anemia,Mild,Fatigue,Children,Both,Government Regulation,No,Yes
CASE_100021,11/3/2023,Asia,India,Chromium,62.73,11.22,5.49,Loamy,2.51,12,14.5,44.4,1505.7,Rice,Integrated,None,0,0,Irrigation Canal,None Detected,None,None,Elderly,Male,Soil Remediation,No,Yes
CASE_100022,1/8/2024,Asia,South Korea,Cadmium,14.92,5.39,5.95,Sandy,1.16,4,43.9,49.5,1789.5,Vegetables,Organic,Smelting,4.39,16,River,Bone Disease,Severe,Protein in Urine,Children,Male,Soil Remediation,No,Yes
CASE_100023,12/3/2023,North America,Mexico,Arsenic,16.92,1.07,5.82,Loamy,4.34,12,17.6,63.3,692.5,Corn,Conventional,None,0,0,Rainwater,Diabetes,Mild,Hyperpigmentation,Children,Male,None,No,Yes
CASE_100024,1/10/2024,Africa,Tanzania,Cadmium,6.58,0.29,5.13,Loamy,5.73,12,41.6,47.8,318.5,Vegetables,Integrated,Agriculture,2.31,15,Lake,Respiratory Issues,Mild,Breathing Difficulty,Children,Both,Community Awareness,No,Yes
CASE_100025,2/15/2024,Asia,India,Cadmium,0.57,0.01,6.68,Silty,5.68,16,43.7,92.3,1713.4,Cotton,Conventional,None,0,0,Well,None Detected,None,None,Elderly,Both,None,No,Yes
CASE_100026,10/11/2024,North America,Mexico,Mercury,0.15,0.04,5.74,Sandy,2.63,4,5.9,61.8,1136.2,Soybean,Integrated,None,0,0,Well,None Detected,None,None,Adults,Both,Crop Rotation,No,Yes
CASE_100027,7/11/2023,Africa,Egypt,Cadmium,26,0.41,6.35,Silty,5.96,16,25.7,85.8,447.1,Cotton,Integrated,Mining,0.89,22,Borehole,Respiratory Issues,Mild,Protein in Urine,Adults,Both,Phytoremediation,Yes,Yes
CASE_100028,4/11/2023,Australia,New Zealand,Arsenic,33.45,1.12,6.72,Silty,5.4,16,25.5,57.6,1258,Rice,Integrated,Agriculture,1.61,12,Lake,Diabetes,Mild,Nausea,Children,Both,Crop Rotation,No,Yes
CASE_100029,8/15/2024,North America,Canada,Cadmium,5.81,0.14,7.09,Clay,4.03,30,3.3,63.4,235.9,Wheat,Integrated,Agriculture,1.28,33,Irrigation Canal,Respiratory Issues,Mild,Fatigue,Elderly,Male,Crop Rotation,No,Yes
CASE_100030,11/7/2025,Europe,France,Cadmium,9,0.67,6.08,Clay,2.76,30,26.9,36.2,822.9,Wheat,Permaculture,Mining,6.41,16,Rainwater,Bone Disease,Mild,Protein in Urine,Elderly,Female,Government Regulation,Yes,Yes
CASE_100031,5/27/2023,Asia,Vietnam,Lead,215.55,3.91,5.55,Clay,5.82,30,44,58.7,679.8,Soybean,Conventional,Smelting,5.09,34,Borehole,Developmental Disorder,Mild,Memory Loss,Children,Both,Community Awareness,No,Yes
CASE_100032,4/30/2024,South America,Venezuela,Chromium,24.71,1.08,5.54,Clay,4.63,30,6,92.2,1036,Barley,Organic,None,0,0,Borehole,None Detected,None,None,Adults,Male,None,No,Yes
CASE_100033,9/26/2023,South America,Peru,Cadmium,4.61,0.29,5.87,Clay,3.5,30,33.6,69.5,479.9,Cotton,Organic,Agriculture,2.73,18,Lake,Respiratory Issues,Mild,Joint Pain,Adults,Male,Chemical Neutralization,Yes,Yes
CASE_100034,3/18/2023,Australia,Australia,Arsenic,15.62,1.63,7.47,Clay,2.09,30,6.8,23.1,1326.6,Barley,Permaculture,Agriculture,2.3,5,Well,Diabetes,Mild,Weakness,Children,Both,Crop Rotation,Yes,No
CASE_100035,12/15/2024,Asia,South Korea,Chromium,948.5,52.57,5.45,Clay,4.84,30,22.4,49.9,1250.9,Barley,Organic,Tannery,0.24,25,Borehole,Cancer,Mild,Skin Ulcers,Adults,Female,Phytoremediation,No,Yes
CASE_100036,9/11/2024,North America,USA,Mercury,0.22,0.07,6.1,Sandy,1.44,4,17.6,84.2,858.7,Rice,Conventional,None,0,0,Borehole,Neurological Disorder,Mild,Tremors,Children,Female,Government Regulation,No,Yes
CASE_100037,7/1/2025,North America,Canada,Chromium,1630.96,173.36,5.02,Silty,4.14,16,20.1,49.1,843.3,Cotton,Conventional,Tannery,0.26,25,Borehole,Skin Disease,Moderate,Breathing Difficulty,Children,Male,Crop Rotation,No,Yes
CASE_100038,6/12/2024,Australia,Australia,Cadmium,10.51,1.2,5.58,Loamy,2.94,12,5.9,81.1,638.2,Soybean,Organic,Agriculture,0.18,16,Rainwater,Kidney Disease,Moderate,Joint Pain,Elderly,Male,Government Regulation,No,Yes
CASE_100039,4/24/2025,Africa,Kenya,Arsenic,17.98,2.18,7.01,Loamy,2.77,12,35,80.5,1488.6,Rice,Integrated,Agriculture,1.98,8,Irrigation Canal,Diabetes,Mild,Weakness,Elderly,Both,Chemical Neutralization,Yes,Yes
CASE_100040,2/19/2023,Australia,New Zealand,Chromium,42.32,11.42,6.83,Sandy,1.53,4,36.1,45.6,559.1,Potato,Permaculture,None,0,0,Borehole,None Detected,None,None,Adults,Both,Phytoremediation,Yes,No
CASE_100041,4/11/2023,Asia,Vietnam,Cadmium,0.82,0.01,5.98,Clay,6.51,30,9.1,87.7,1035.2,Vegetables,Organic,None,0,0,Borehole,Respiratory Issues,Mild,Joint Pain,Elderly,Both,None,No,Yes
CASE_100042,11/11/2024,North America,Mexico,Cadmium,7.28,0.98,6.22,Loamy,1.55,12,3.2,43.9,1150.1,Cotton,Permaculture,Agriculture,1.79,21,River,Cancer,Mild,Breathing Difficulty,Adults,Male,Government Regulation,No,Yes
CASE_100043,2/22/2023,North America,USA,Cadmium,101.22,9.76,4.7,Silty,4.53,16,27.7,79.2,291.2,Cotton,Conventional,Battery,0.11,17,Irrigation Canal,Kidney Disease,Severe,Bone Pain,Children,Both,Chemical Neutralization,No,Yes
CASE_100044,3/25/2023,South America,Argentina,Cadmium,6.92,0.1,5.52,Clay,7.33,30,9.7,30.7,961.5,Wheat,Integrated,Agriculture,0.5,32,River,Bone Disease,Mild,Breathing Difficulty,Adults,Both,Community Awareness,No,Yes
CASE_100045,2/11/2024,South America,Colombia,Chromium,1727.8,339.23,5.12,Silty,1.88,16,20,47.8,1012.8,Barley,Integrated,Tannery,0.14,36,Borehole,Respiratory Issues,Severe,Skin Ulcers,Adults,Both,Soil Remediation,No,Yes
CASE_100046,4/18/2024,Asia,Indonesia,Cadmium,0.99,0.02,6.43,Loamy,5.76,12,35.1,48.2,212.8,Soybean,Permaculture,None,0,0,Lake,None Detected,None,None,Elderly,Both,Community Awareness,No,Yes
CASE_100047,3/5/2025,Asia,Bangladesh,Chromium,1228.32,270.32,5.48,Loamy,1.55,12,7.3,28.9,279.2,Rice,Organic,Tannery,0.2,24,Borehole,Skin Disease,Severe,Rash,Children,Female,Government Regulation,No,Yes
CASE_100048,6/20/2025,Australia,New Zealand,Arsenic,113.25,11.6,7.73,Silty,3.19,16,39.7,36.8,1455.9,Potato,Organic,Mining,0.83,1,Well,Diabetes,Mild,Skin Lesions,Adults,Male,Government Regulation,No,Yes
CASE_100049,5/11/2023,South America,Venezuela,Arsenic,30.38,2.03,6.22,Loamy,4.33,12,23.2,67.1,784.3,Wheat,Organic,Agriculture,1.48,10,Well,Diabetes,Mild,Nausea,Elderly,Both,None,Yes,No
CASE_100050,11/28/2024,North America,Canada,Arsenic,5.68,0.08,6.95,Clay,7.41,30,9.8,91.3,1090.3,Rice,Conventional,None,0,0,River,None Detected,None,None,Elderly,Both,Soil Remediation,Yes,Yes
CASE_100051,6/26/2025,South America,Brazil,Arsenic,12.2,0.22,4.08,Clay,5.5,30,44,94,898.2,Barley,Integrated,Smelting,8.06,27,Well,Cardiovascular Disease,Mild,Numbness,Children,Both,None,No,Yes
CASE_100052,2/28/2024,Australia,Australia,Mercury,0.14,0.01,5.67,Loamy,3.91,12,37.6,71.4,495.1,Soybean,Organic,None,0,0,Lake,None Detected,None,None,Elderly,Male,None,No,Yes
CASE_100053,2/11/2023,South America,Venezuela,Mercury,0.27,0.01,4.88,Silty,5.7,16,6.8,22,576.5,Wheat,Permaculture,None,0,0,Borehole,None Detected,None,None,Children,Female,Community Awareness,No,Yes
CASE_100054,12/22/2022,North America,USA,Arsenic,18.99,0.77,7.72,Silty,5.29,16,16.4,51.1,473.4,Rice,Conventional,Agriculture,3.71,28,River,Skin Disease,Mild,Numbness,Elderly,Both,Soil Remediation,Yes,No
CASE_100055,1/13/2024,Australia,New Zealand,Chromium,76.69,3.47,6.21,Loamy,4.96,12,39,38.6,840.7,Barley,Conventional,None,0,0,Rainwater,Cancer,Mild,Breathing Difficulty,Adults,Female,Crop Rotation,Yes,Yes
CASE_100056,4/17/2023,North America,Mexico,Arsenic,294.98,85.16,5.91,Sandy,2.18,4,12.5,28.5,871.6,Wheat,Integrated,Chemical,0.78,26,Borehole,Skin Disease,Severe,Weakness,Adults,Both,Soil Remediation,No,Yes
CASE_100057,3/15/2025,North America,USA,Arsenic,28.91,0.51,8.35,Clay,7.26,30,4.7,22.2,955.1,Barley,Conventional,Smelting,5.78,24,River,Cancer,Mild,Numbness,Adults,Female,Crop Rotation,No,Yes
CASE_100058,1/11/2023,Asia,Bangladesh,Arsenic,15.42,6.77,6.89,Sandy,0.54,4,28.6,49.4,903.1,Wheat,Organic,Agriculture,3.2,20,Well,Skin Disease,Mild,Hyperpigmentation,Adults,Female,Crop Rotation,No,Yes
CASE_100059,12/23/2023,Australia,New Zealand,Mercury,32.04,0.34,6.8,Clay,7.17,30,10.9,89.5,890.5,Corn,Permaculture,Chemical,0.52,31,River,Developmental Disorder,Moderate,Memory Loss,Elderly,Male,Phytoremediation,No,Yes
CASE_100060,5/1/2023,South America,Chile,Arsenic,11.89,1,4.82,Silty,2.66,16,44.2,56.9,528.8,Barley,Organic,None,0,0,Rainwater,Diabetes,Mild,Numbness,Elderly,Female,Community Awareness,No,Yes
CASE_100061,9/4/2025,Africa,Tanzania,Lead,472.13,28.61,6.57,Clay,3.09,30,40.9,55.5,403.9,Vegetables,Conventional,Smelting,0.86,16,Lake,Developmental Disorder,Mild,Cognitive Impairment,Adults,Both,None,Yes,No
CASE_100062,12/26/2023,Europe,Spain,Lead,19.71,1.51,5.65,Clay,3.03,30,1.4,32.7,478.6,Barley,Conventional,None,0,0,Borehole,Kidney Disease,Mild,Headache,Children,Female,None,No,Yes
CASE_100063,7/1/2025,South America,Venezuela,Mercury,19.22,1.07,7.07,Silty,1.68,16,30.1,26.1,1073.6,Vegetables,Integrated,Battery,0.18,6,Borehole,Kidney Disease,Moderate,Vision Problems,Adults,Male,Community Awareness,No,Yes
CASE_100064,7/27/2025,Europe,Italy,Mercury,0.09,0.02,6.53,Sandy,2.8,4,9.7,80.5,948.3,Wheat,Conventional,None,0,0,Rainwater,None Detected,None,None,Children,Male,Soil Remediation,No,Yes
CASE_100065,2/3/2023,Africa,South Africa,Mercury,18.91,3.26,4.29,Loamy,3.58,12,6.5,38.9,1156,Corn,Organic,Battery,0.12,10,River,Kidney Disease,Severe,Vision Problems,Children,Both,Soil Remediation,No,Yes
CASE_100066,7/4/2023,South America,Argentina,Cadmium,29.45,0.5,7.32,Clay,4.68,30,14.7,40.2,577.3,Rice,Permaculture,Smelting,2.59,17,Lake,Bone Disease,Mild,Fatigue,Elderly,Female,Phytoremediation,No,Yes
CASE_100067,3/24/2024,Australia,New Zealand,Arsenic,270.59,13.37,6.85,Loamy,5.05,12,8.5,60.3,356.2,Wheat,Organic,Chemical,0.79,20,Rainwater,Cardiovascular Disease,Moderate,Nausea,Elderly,Female,Crop Rotation,No,Yes
CASE_100068,2/11/2025,Asia,Vietnam,Chromium,1279.79,698.65,5.35,Sandy,1.41,4,27.8,46.7,1973.7,Cotton,Organic,Tannery,0.53,37,River,Respiratory Issues,Severe,Dermatitis,Adults,Both,Chemical Neutralization,No,Yes
CASE_100069,11/24/2024,Australia,Australia,Arsenic,7.29,2.42,4.8,Sandy,0.75,4,14.8,32.1,120.1,Rice,Integrated,None,0,0,Borehole,None Detected,None,None,Children,Female,Phytoremediation,No,Yes
CASE_100070,8/28/2023,Europe,France,Cadmium,4.11,0.08,5.75,Silty,5.92,16,13.9,92.7,1065.5,Cotton,Permaculture,Agriculture,1.72,24,Lake,Respiratory Issues,Mild,Fatigue,Elderly,Female,Soil Remediation,Yes,Yes
CASE_100071,10/20/2023,South America,Chile,Arsenic,105.47,33.6,6.3,Sandy,1.93,4,35.8,34,523.7,Wheat,Permaculture,Mining,1.09,26,Lake,Cardiovascular Disease,Severe,Nausea,Elderly,Female,Government Regulation,No,Yes
CASE_100072,3/5/2024,Asia,Bangladesh,Chromium,149.35,9.74,5.54,Silty,4.25,16,28.2,31.6,988.2,Soybean,Conventional,Chemical,1.77,40,Borehole,Kidney Disease,Mild,Nasal Irritation,Adults,Male,Chemical Neutralization,Yes,Yes
CASE_100073,1/6/2025,North America,USA,Arsenic,133.64,17.4,7.41,Loamy,2.65,12,26.6,64.7,671.6,Barley,Integrated,Mining,1.34,35,Borehole,Diabetes,Moderate,Nausea,Elderly,Both,Crop Rotation,No,Yes
